全局序号,分类,分类内序号,等级,POI_ID,名称,子类,地址,经度,纬度,评分,价格/费用/余量,开放/服务时间,建议游览分钟,电话,标签,简介/用途,图片URL,动态字段,数据用途,选择分,备注
105,美食,,L2,414,鸟良日本料理,日本料理,世茂创富世纪广场10-104室,120.769022,31.666506,4.5,96.00,10:30-14:00 16:30-02:30,,17751131102,日本料理、铁板牛舌、吉列猪扒、豚骨拉面、烤大明虾、三文鱼,鸟良日本料理属于日本料理，适合作为游览路线中的用餐/休息节点。,,avg_crowd=0.151; peak_crowd=0.405,搜索/候选展示/后续补全,132.267,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
106,美食,,L2,402,兄弟糖藕(总马桥一店),餐饮相关,义庄弄20号(丰乐集贸市场内),120.741445,31.635749,4.5,21.00,05:00-17:00,,13092622927;17751513214,餐饮相关、小吃快餐,兄弟糖藕(总马桥一店)属于餐饮相关，适合作为游览路线中的用餐/休息节点。,,avg_crowd=0.151; peak_crowd=0.405,搜索/候选展示/后续补全,132.205,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
107,美食,,L2,418,荷花饭店(青墩塘路店),中餐厅,青墩塘路68号,120.776484,31.647432,4.5,75.00,11:00-13:00 16:30-20:30,,18962312518,中餐厅、中餐、小炒肉、三鲜汤、三鲜锅仔、丝瓜毛豆,荷花饭店(青墩塘路店)属于中餐厅，适合作为游览路线中的用餐/休息节点。,,avg_crowd=0.151; peak_crowd=0.405,搜索/候选展示/后续补全,132.174,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
108,美食,,L2,540,家购来台湾小吃店,中餐厅,琴枫苑华山路79-14,120.750959,31.678236,4.5,29.00,09:00-21:00,,15151771912,中餐厅、台湾小吃,家购来台湾小吃店属于中餐厅，适合作为游览路线中的用餐/休息节点。,,avg_crowd=0.151; peak_crowd=0.405,搜索/候选展示/后续补全,132.047,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
109,美食,,L2,407,蓝青岛茶苑,茶艺馆,寺路街与中山中路交叉口西100米,120.722917,31.66729,4.5,48.00,07:00-22:30,,13814966328,茶艺馆、茶座,蓝青岛茶苑属于茶艺馆，适合作为游览路线中的用餐/休息节点。,,avg_crowd=0.151; peak_crowd=0.405,搜索/候选展示/后续补全,131.882,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
110,美食,,L2,564,朴大叔拌饭(常熟时尚莱迪店),餐饮相关,方塔东街11幢朴大叔拌饭,120.75396,31.6433,3.9,22.00,09:30-22:00,,17630753121,餐饮相关、小吃快餐、招牌牛肉石锅拌饭、石板香辣鱿鱼、肥牛泡菜锅、拌饭,朴大叔拌饭(常熟时尚莱迪店)属于餐饮相关，适合作为游览路线中的用餐/休息节点。,,avg_crowd=0.151; peak_crowd=0.405,搜索/候选展示/后续补全,131.389,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
111,美食,,L2,456,高茗生态茶园,茶艺馆,中山南路山麓小憩茶餐厅旁,120.724791,31.665404,4.4,41.00,06:00-15:00,,13151626818,茶艺馆、茶座,高茗生态茶园属于茶艺馆，适合作为游览路线中的用餐/休息节点。,,avg_crowd=0.151; peak_crowd=0.405,搜索/候选展示/后续补全,130.771,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
112,美食,,L2,576,箐竹茶苑,茶艺馆,诗路街53号,120.721473,31.665519,4.4,137.00,06:00-18:00,,0512-52854311,茶艺馆、茶座,箐竹茶苑属于茶艺馆，适合作为游览路线中的用餐/休息节点。,,avg_crowd=0.151; peak_crowd=0.405,搜索/候选展示/后续补全,130.669,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
113,美食,,L2,555,晨跑的杯子(苏州常熟店),餐饮相关,琴川街道湘江东路119号,120.756089,31.660738,4.3,28.00,06:00-20:00,,15303263327,餐饮相关、奶茶/茶饮,晨跑的杯子(苏州常熟店)属于餐饮相关，适合作为游览路线中的用餐/休息节点。,,avg_crowd=0.151; peak_crowd=0.405,搜索/候选展示/后续补全,130.308,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
114,美食,,L2,561,N多寿司(常熟天虹购物中心店),日本料理,虞山街道海虞北路33号天虹购物中心(苏州常熟海虞店),120.753625,31.672175,3.8,20.00,10:00-22:00,,13962340176,日本料理、小吃快餐、单人餐、虞山,N多寿司(常熟天虹购物中心店)属于日本料理，适合作为游览路线中的用餐/休息节点。,,avg_crowd=0.151; peak_crowd=0.405,搜索/候选展示/后续补全,129.884,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
115,美食,,L2,452,食力π(商城中路店),中餐厅,商城中路147号,120.738149,31.622122,4.3,19.00,10:30-20:30,,18915666616,中餐厅、小吃快餐、炖蛋、鸡汁农家笋干、香辣牛排骨饭、香辣牛排骨,食力π(商城中路店)属于中餐厅，适合作为游览路线中的用餐/休息节点。,,avg_crowd=0.151; peak_crowd=0.405,搜索/候选展示/后续补全,129.276,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
116,美食,,L2,496,小铅皮鹅汤馆,中餐厅,辛庄大道638号,120.694268,31.529278,4.6,72.00,10:00-13:00 16:00-19:30 07:30-20:00 10:30-13:00 16:30-19:30,,0512-52483225,中餐厅、苏菜、鹅汤、鹅血汤、地三鲜、空心菜,小铅皮鹅汤馆属于中餐厅，适合作为游览路线中的用餐/休息节点。,,avg_crowd=0.151; peak_crowd=0.405,搜索/候选展示/后续补全,128.981,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
117,美食,,L2,579,啡时光(膨膨冰梅李店),咖啡厅,梅西路26号(梅西路与胜法路交界口、欧乐福超市旁),120.868928,31.704219,4.5,34.00,10:00-24:00,,0512-52662378,咖啡厅、咖啡、意面、薯条,啡时光(膨膨冰梅李店)属于咖啡厅，适合作为游览路线中的用餐/休息节点。,,avg_crowd=0.151; peak_crowd=0.405,搜索/候选展示/后续补全,128.679,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
118,美食,,L2,515,梧桐姥姥(常熟凤凰城店),中餐厅,闽江东路与青城山路交叉口东60米,120.769975,31.667425,4.2,20.00,24小时营业,,17761931711,中餐厅、奶茶/茶饮,梧桐姥姥(常熟凤凰城店)属于中餐厅，适合作为游览路线中的用餐/休息节点。,,avg_crowd=0.151; peak_crowd=0.405,搜索/候选展示/后续补全,128.62,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
119,美食,,L2,509,米村拌饭(常熟星光天地店),中餐厅,闽江东路9号常客隆星光天地1层14A号,120.776131,31.66617,4.2,19.00,10:00-21:00,,17701565993,中餐厅、小吃快餐,米村拌饭(常熟星光天地店)属于中餐厅，适合作为游览路线中的用餐/休息节点。,,avg_crowd=0.151; peak_crowd=0.405,搜索/候选展示/后续补全,128.487,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
120,美食,,L2,569,潮粤客茶点(佳和广场店),茶餐厅,佳和广场,120.738901,31.675216,4.2,44.00,10:00-22:00,,18550021157,茶餐厅、茶点,潮粤客茶点(佳和广场店)属于茶餐厅，适合作为游览路线中的用餐/休息节点。,,avg_crowd=0.151; peak_crowd=0.405,搜索/候选展示/后续补全,128.449,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。
121,酒店,,L3,789,栖悦酒店(常熟虞山风景区店),宾馆酒店,虞景文华商业广场32、35、36、37、50幢,120.740454,31.652686,4.3,224元起，平均约552.7元，余房峰值25间,,,18626239366,宾馆酒店、快捷酒店、虞山、景区、风景,栖悦酒店(常熟虞山风景区店)属于宾馆酒店，适合作为住宿落点和夜间路线收束点。,https://store.is.autonavi.com/showpic/2939b50482dec9f3ba1e952002c35bce,min_price=224; avg_price=552.7; max_rooms=25,路线规划/区域住宿节点,214.192,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。
122,酒店,,L3,796,花祺酒店(常熟虞山景区方塔东街步行街店),宾馆酒店,书院街120-1号,120.741391,31.644999,4.2,231元起，平均约521.3元，余房峰值25间,,,0512-52036888;15365336001,宾馆酒店、快捷酒店、虞山、方塔、景区,花祺酒店(常熟虞山景区方塔东街步行街店)属于宾馆酒店，适合作为住宿落点和夜间路线收束点。,https://store.is.autonavi.com/showpic/9b04674cb877b4302c2d8d5146ff559b,min_price=231; avg_price=521.3; max_rooms=25,路线规划/区域住宿节点,211.892,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。
123,酒店,,L3,682,所选酒店(常熟方塔街虞山店),宾馆酒店,书院街19号,120.740794,31.642644,4.7,218元起，平均约597.4元，余房峰值24间,,,0512-52110609,宾馆酒店、舒适型、虞山、方塔,所选酒店(常熟方塔街虞山店)属于宾馆酒店，适合作为住宿落点和夜间路线收束点。,https://store.is.autonavi.com/showpic/493ae92facccc370415dac29f798ea9a,min_price=218; avg_price=597.4; max_rooms=24,路线规划/区域住宿节点,210.813,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。
124,酒店,,L3,637,常熟四季美家酒店(虞山风景区店),购物相关场所,北门大街20号,120.739524,31.653051,4.5,208元起，平均约627.2元，余房峰值25间,,,0512-52706888,购物相关场所、经济型、虞山、景区、风景,常熟四季美家酒店(虞山风景区店)属于购物相关场所，适合作为住宿落点和夜间路线收束点。,https://store.is.autonavi.com/showpic/8b907f459563be5d858e9bf7180598f4,min_price=208; avg_price=627.2; max_rooms=25,路线规划/区域住宿节点,210.563,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。
125,酒店,,L4,711,常熟宝地尚湖园,住宿服务相关,虞山尚湖旅游度假区春晖路29号尚文苑(从西南门进入),120.696221,31.631981,4.5,202元起，平均约585.0元，余房峰值23间,,,0512-52001000,住宿服务相关、高档型、虞山、尚湖、南门,常熟宝地尚湖园属于住宿服务相关，适合作为住宿落点和夜间路线收束点。,https://store.is.autonavi.com/showpic/374b463c217727b99ac9f3967345e2c7,min_price=202; avg_price=585.0; max_rooms=23,重点样板卡片/封面图/住宿主节点,206.945,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。
126,酒店,,L2,726,常熟万兴商务宾馆,宾馆酒店,沙家浜镇昆承湖东路66号(上海总工会度假村对面),120.773008,31.563686,4.6,208元起，平均约611.7元，余房峰值23间,,,0512-52951555;13951105158,宾馆酒店、经济型、沙家浜、昆承湖,常熟万兴商务宾馆属于宾馆酒店，适合作为住宿落点和夜间路线收束点。,https://store.is.autonavi.com/showpic/ae15b1be95b04b5ab6a1a2c3e4484d45,min_price=208; avg_price=611.7; max_rooms=23,补充检索/放大后显示,205.629,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。
127,酒店,,L2,635,美丽家酒店(常熟方塔园店),住宿服务相关,东胜街49号,120.746141,31.648733,4.8,209元起，平均约633.7元，余房峰值25间,,,13818885748;15800790273,住宿服务相关、快捷酒店、方塔,美丽家酒店(常熟方塔园店)属于住宿服务相关，适合作为住宿落点和夜间路线收束点。,https://store.is.autonavi.com/showpic/007acf1bd4ff78328c31b0a677322bb4,min_price=209; avg_price=633.7; max_rooms=25,补充检索/放大后显示,204.307,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。
128,酒店,,L4,659,格林豪泰酒店(常熟高铁站常汇广场店),经济型连锁酒店,海虞北路98-101号,120.756896,31.685567,4.8,221元起，平均约600.3元，余房峰值22间,,,0512-52011777;18006238777,经济型连锁酒店、快捷酒店、高铁,格林豪泰酒店(常熟高铁站常汇广场店)属于经济型连锁酒店，适合作为住宿落点和夜间路线收束点。,https://store.is.autonavi.com/showpic/3f4a91daefc96b68620f44bd5dab9471,min_price=221; avg_price=600.3; max_rooms=22,重点样板卡片/封面图/住宿主节点,202.356,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。
129,酒店,,L2,652,常熟山前湖民宿,旅馆招待所,尚湖镇颜巷村粮北35号,120.682936,31.624058,4.8,240元起，平均约608.3元，余房峰值24间,,,19906237887,旅馆招待所、民宿、尚湖,常熟山前湖民宿属于旅馆招待所，适合作为住宿落点和夜间路线收束点。,https://store.is.autonavi.com/showpic/4c7033aea8dd9c2483f68559e9a9b19a,min_price=240; avg_price=608.3; max_rooms=24,补充检索/放大后显示,199.015,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。
130,酒店,,L2,672,新宇商务宾馆,宾馆酒店,白茆客运站南80米,120.901766,31.591853,4.6,233元起，平均约617.5元，余房峰值25间,,,0512-52538998,宾馆酒店、商务酒店、客运,新宇商务宾馆属于宾馆酒店，适合作为住宿落点和夜间路线收束点。,https://store.is.autonavi.com/showpic/7e130ae75659252505da4a08072183ed,min_price=233; avg_price=617.5; max_rooms=25,补充检索/放大后显示,191.703,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。
131,酒店,,L4,155,常熟日航酒店,轻奢,常熟市尚湖大道,120.6982,31.6402,4.6,235元起，平均约606.2元，余房峰值25间,24h,,0512-52338888,尚湖景观、带浴缸、情侣、五星,常熟日航酒店属于轻奢，适合作为住宿落点和夜间路线收束点。,/map-skins/guli-ancient-town.png,min_price=235; avg_price=606.2; max_rooms=25,重点样板卡片/封面图/住宿主节点,248.318,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。；图片URL补充：未匹配到同名/近似同名POI图片，使用本地古风示意图。
132,酒店,,L2,156,虞见唐宅酒店,民宿,常熟市南门坛上,120.7502,31.642,4.5,210元起，平均约578.0元，余房峰值23间,24h,,,古宅、民宿、文艺、禅茶,虞见唐宅酒店属于民宿，适合作为住宿落点和夜间路线收束点。,,min_price=210; avg_price=578.0; max_rooms=23,补充检索/放大后显示,239.533,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。
133,酒店,,L2,159,沙家浜久住民宿,民宿,常熟市沙家浜横泾老街,120.7825,31.4902,4.4,238元起，平均约548.9元，余房峰值23间,24h,,,沙家浜、民宿、夜游、亲子,沙家浜久住民宿属于民宿，适合作为住宿落点和夜间路线收束点。,,min_price=238; avg_price=548.9; max_rooms=23,补充检索/放大后显示,239.357,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。
134,酒店,,L3,157,常熟和颐酒店,商务,常熟市方塔街区,120.756,31.648,4.4,243元起，平均约578.6元，余房峰值22间,24h,,,商务、近方塔、四星,常熟和颐酒店属于商务，适合作为住宿落点和夜间路线收束点。,/map-skins/guli-ancient-town.png,min_price=243; avg_price=578.6; max_rooms=22,路线规划/区域住宿节点,237.549,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。；图片URL补充：未匹配到同名/近似同名POI图片，使用本地古风示意图。
135,酒店,,L2,722,艺居酒店(常熟国际服装城苏州工学院店),宾馆酒店,服装城商城东路1号中盈国际广场4-109,120.747925,31.61871,4.8,215元起，平均约605.4元，余房峰值25间,,,"0512-52066866;15062496586;+861056320612,51458053",宾馆酒店、舒适型,艺居酒店(常熟国际服装城苏州工学院店)属于宾馆酒店，适合作为住宿落点和夜间路线收束点。,,min_price=215; avg_price=605.4; max_rooms=25,补充检索/放大后显示,191.225,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。
136,酒店,,L2,753,我行我宿小姐姐公寓(福泰路分店),住宿服务相关,福泰路(同济科技广场菁英公寓),120.770897,31.59502,4.7,212元起，平均约688.0元，余房峰值24间,,,"010-56320606,5028857",住宿服务相关、民宿,我行我宿小姐姐公寓(福泰路分店)属于住宿服务相关，适合作为住宿落点和夜间路线收束点。,,min_price=212; avg_price=688.0; max_rooms=24,补充检索/放大后显示,187.034,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。
137,酒店,,L2,784,常熟法兰希酒店,宾馆酒店,高新技术开发区黄浦江路62号虞悦广场12幢301,120.827059,31.593738,4.7,201元起，平均约579.0元，余房峰值24间,,,0512-83386660,宾馆酒店、快捷酒店,常熟法兰希酒店属于宾馆酒店，适合作为住宿落点和夜间路线收束点。,,min_price=201; avg_price=579.0; max_rooms=24,补充检索/放大后显示,184.003,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。
138,酒店,,L2,625,望湖商务宾馆(沙家浜店),宾馆酒店,沙家浜镇沙霞西路59号,120.770449,31.558737,4.5,222元起，平均约597.7元，余房峰值25间,,,,宾馆酒店、经济型、沙家浜,望湖商务宾馆(沙家浜店)属于宾馆酒店，适合作为住宿落点和夜间路线收束点。,,min_price=222; avg_price=597.7; max_rooms=25,补充检索/放大后显示,183.254,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。
139,酒店,,L2,679,顺达商务宾馆(富春江路),宾馆酒店,虞山镇富春江东路213-2号(近三环东路),120.794207,31.630692,3.9,203元起，平均约596.1元，余房峰值24间,,,0512-52665333;17701578995,宾馆酒店、经济型、虞山,顺达商务宾馆(富春江路)属于宾馆酒店，适合作为住宿落点和夜间路线收束点。,,min_price=203; avg_price=596.1; max_rooms=24,补充检索/放大后显示,183.157,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。
140,酒店,,L4,662,格林豪泰(常熟虞山景区方塔园步行街店),经济型连锁酒店,环城东路5号,120.7495,31.647512,4.2,252元起，平均约675.8元，余房峰值25间,,,0512-51918998,经济型连锁酒店、经济型、虞山、方塔、景区,格林豪泰(常熟虞山景区方塔园步行街店)属于经济型连锁酒店，适合作为住宿落点和夜间路线收束点。,https://store.is.autonavi.com/showpic/7e47956618cca1b3214f1ef59db955c5,min_price=252; avg_price=675.8; max_rooms=25,重点样板卡片/封面图/住宿主节点,129.133,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。；图片URL补充：同名高德POI图片：格林豪泰(常熟招商城店)
141,酒店,,L2,760,七号庭院,住宿服务相关,虞山南路4号(市一中斜对面),120.73401,31.645837,4.4,209元起，平均约546.8元，余房峰值25间,09:00-22:00,,0512-52136137;18013699107,住宿服务相关、汤锅、提拉米苏、虞山,七号庭院属于住宿服务相关，适合作为住宿落点和夜间路线收束点。,,min_price=209; avg_price=546.8; max_rooms=25,补充检索/放大后显示,127.108,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。
142,酒店,,L4,645,常熟世纪虞澄大酒店,宾馆酒店,新世纪大道81号1楼2楼3楼阳澄湖大闸蟹羊肉火锅,120.769861,31.672491,4.4,287元起，平均约600.3元，余房峰值25间,10:30-13:30 16:00-21:00,,0512-51515777;18962598809,宾馆酒店、中餐、虞澄大闸蟹,常熟世纪虞澄大酒店属于宾馆酒店，适合作为住宿落点和夜间路线收束点。,http://store.is.autonavi.com/showpic/de3f0a540f04f156ffa049badf58169b,min_price=287; avg_price=600.3; max_rooms=25,重点样板卡片/封面图/住宿主节点,126.877,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。；图片URL补充：同名高德POI图片：常熟世纪虞澄大酒店
143,酒店,,L3,703,常熟虞山风景区美怡豪致酒店,宾馆酒店,虞山南路1号,120.732824,31.645717,4.0,219元起，平均约538.6元，余房峰值25间,,,0512-52955999,宾馆酒店、经济型、虞山、景区、风景,常熟虞山风景区美怡豪致酒店属于宾馆酒店，适合作为住宿落点和夜间路线收束点。,https://store.is.autonavi.com/showpic/622e2c901d9c6ec6b8cc27267b82d9b6,min_price=219; avg_price=538.6; max_rooms=25,路线规划/区域住宿节点,126.27,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。；图片URL补充：同名高德POI图片：常熟虞山风景区美怡豪致酒店
144,酒店,,L3,803,常熟龙泉酒店(方塔街店),宾馆酒店,阜湖路8号,120.751242,31.639317,4.7,232元起，平均约607.6元，余房峰值25间,,,0512-52799777;13773027902,宾馆酒店、经济型、方塔,常熟龙泉酒店(方塔街店)属于宾馆酒店，适合作为住宿落点和夜间路线收束点。,https://store.is.autonavi.com/showpic/aa0a983e020bfc83c79d3eacffc0f98a,min_price=232; avg_price=607.6; max_rooms=25,路线规划/区域住宿节点,122.834,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。；图片URL补充：同名高德POI图片：常熟龙泉酒店(方塔街店)
145,酒店,,L3,720,凯泰大酒店,宾馆酒店,珠江东路99号,120.767149,31.663748,4.5,245元起，平均约616.9元，余房峰值25间,08:00-12:00 14:00-22:00,,0512-51577777;0512-52872777;18006231566,宾馆酒店、江浙菜、牛排、虾仁、特色菜、烤鸭,凯泰大酒店属于宾馆酒店，适合作为住宿落点和夜间路线收束点。,https://store.is.autonavi.com/showpic/06978f8d16f3cc1ae65cb386f1d6a86e,min_price=245; avg_price=616.9; max_rooms=25,路线规划/区域住宿节点,122.384,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。；图片URL补充：同名高德POI图片：凯泰大酒店
146,酒店,,L2,592,常熟福缘旅馆,旅馆招待所,虞山镇银环路99号-49,120.787661,31.602491,4.8,243元起，平均约609.2元，余房峰值24间,,,0512-52208890;18915406540,旅馆招待所、经济型、虞山,常熟福缘旅馆属于旅馆招待所，适合作为住宿落点和夜间路线收束点。,,min_price=243; avg_price=609.2; max_rooms=24,补充检索/放大后显示,122.291,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。
147,酒店,,L3,676,壹号精品酒店(常熟琴湖店),宾馆酒店,虞山镇富仓路16号中宏万家大型综合体广场B区4层,120.779379,31.625468,4.7,290元起，平均约617.8元，余房峰值24间,,,0512-51917111;19951917111,宾馆酒店、舒适型、虞山,壹号精品酒店(常熟琴湖店)属于宾馆酒店，适合作为住宿落点和夜间路线收束点。,https://store.is.autonavi.com/showpic/e0a5f2122bcbb2205b9ac5ef7502304f,min_price=290; avg_price=617.8; max_rooms=24,路线规划/区域住宿节点,121.987,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。；图片URL补充：同名高德POI图片：壹号精品酒店(常熟琴湖店)
148,酒店,,L3,763,花居酒店(常熟虞山店),宾馆酒店,虞山镇李闸路205号B区,120.746564,31.66768,4.6,242元起，平均约593.5元，余房峰值25间,,,0512-52000013,宾馆酒店、经济型、虞山,花居酒店(常熟虞山店)属于宾馆酒店，适合作为住宿落点和夜间路线收束点。,https://store.is.autonavi.com/showpic/c5ef395c5f3a9b399471631871ae0048,min_price=242; avg_price=593.5; max_rooms=25,路线规划/区域住宿节点,121.623,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。；图片URL补充：同名高德POI图片：花居酒店(常熟虞山店)
149,酒店,,L3,802,逅居酒店(常熟方塔园方塔东街步行街店),宾馆酒店,红旗北路12号,120.746191,31.639196,4.6,231元起，平均约578.3元，余房峰值25间,,,0512-52991197,宾馆酒店、快捷酒店、方塔,逅居酒店(常熟方塔园方塔东街步行街店)属于宾馆酒店，适合作为住宿落点和夜间路线收束点。,https://store.is.autonavi.com/showpic/06b0342491c5cf2d516851d10b357f49,min_price=231; avg_price=578.3; max_rooms=25,路线规划/区域住宿节点,121.592,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。；图片URL补充：同名高德POI图片：逅居酒店(常熟方塔园方塔东街步行街店)
150,酒店,,L3,678,创e家酒店(常熟汽车客运南站招商城店),宾馆酒店,招商北路53-5号,120.741488,31.629306,4.6,300元起，平均约603.3元，余房峰值24间,,,0512-51665666;18915623768,宾馆酒店、快捷酒店、客运,创e家酒店(常熟汽车客运南站招商城店)属于宾馆酒店，适合作为住宿落点和夜间路线收束点。,https://store.is.autonavi.com/showpic/b42cef8ceeda627acf3be41ed2e207e8,min_price=300; avg_price=603.3; max_rooms=24,路线规划/区域住宿节点,121.177,运营信息以现场或官方公告为准；本数据用于演示估算和前端分层展示。；酒店分层已按城市级/品牌级/星级/交通枢纽/景区住宿代表性重排，避免低缩放层过多展示小众民宿或普通商务宾馆。；图片URL补充：同名高德POI图片：创e家酒店(常熟汽车客运南站招商城店)
